date,abstract,keywords,doc_type,material_type,news_desk
2020-02-01,"Kenin, an American in her first Grand Slam final, became the tournament’s youngest singles champion since Maria Sharapova in 2008.","['Australian Open (Tennis)', 'Tennis', 'Age, Chronological', 'Records and Achievements']",article,News,Sports
2020-02-01,"Hours after the morning wedding of Lauren Schneider and Lawrence Moss, the couple found themselves on very shaky ground as a 7.7 magnitude earthquake hit Jamaica.",['Weddings and Engagements'],article,News,Styles
2020-02-01,"Monique Proctor, who changed her name to DJ Smiles Davis 11 years ago, talks about playlists, fees and her favorite wedding moments.","['Music', 'Weddings and Engagements', 'Disc Jockeys']",article,News,Styles
2020-02-01,"A KFC ad in Australia that infuriated women’s groups showed the power of the #MeToo movement, even as it called back to the many sexist ads of the past.","['ADVERTISING AND MARKETING', '#MeToo Movement', 'Women and Girls', 'Discrimination', 'Social Media', 'Two Thousands (Decade)', ""Women's Rights"", 'Online Advertising']",article,News,Express
2020-02-01,"The lieutenant governor of Pennsylvania, John Fetterman, said the punishment was overly harsh and offered to personally repay the grocery store.","['Criminal Justice', 'Politics and Government', 'Amnesties, Commutations and Pardons', 'Sentences (Criminal)', 'Shoplifting and Employee Theft (Retail)']",article,News,National
2020-02-01,Joe Biden has a hold on the Democratic establishment. Much of the far left supports Bernie Sanders. Mayors are backing Pete Buttigieg and Mike Bloomberg. And then there are the celebrities.,"['Presidential Election of 2020', 'Endorsements']",article,News,Politics
2020-02-01,"With the Senate voting to bar any new witness testimony, the only outstanding question is when President Trump will be acquitted.","['Impeachment', 'Witnesses', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']",article,Op-Ed,Editorial
2020-02-01,"The Lakers returned to the court for the first time since the death of Kobe Bryant and eight others in a helicopter crash, playing a game that was more reflection than sport.",['Basketball'],article,News,Sports
2020-02-01,The growing uncertainty over the safety of visiting or leaving China is bedeviling companies around the world.,"['Coronavirus (2019-nCoV)', 'Business Travel', 'Epidemics', 'AIRLINES AND AIRPLANES', 'Travel Warnings']",article,News,Business
2020-02-01,"Every month, subscription streaming services add a new batch of titles to their libraries. Here are our picks for February.","['Television', 'Movies']",article,News,Culture
2020-02-01,A conversation about how its meaning has evolved over the last two decades.,"['Music', 'Super Bowl']",article,News,Culture
2020-02-01,"Like banks, co-ops set rules about how much shareholders can borrow. But there are ways to find the equity you seek in your home.","['Real Estate and Housing (Residential)', 'Cooperatives']",article,News,RealEstate
2020-02-01,"Alison Roman’s new pasta, candied oranges, and more recipes.",[],article,News,Dining
2020-02-01,"Rights groups have condemned the plan, warning that it would increase the dangers faced by asylum seekers.","['Middle East and Africa Migrant Crisis', 'Border Barriers', 'Smuggling']",article,News,Foreign
2020-02-01,"Britain is remaking itself again. The shape of its society and economy, and its place in the world, are very much up for grabs.","['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government', 'International Trade and World Market', 'Economic Conditions and Trends']",article,News,Foreign
2020-02-01,A Times investigation found widespread bullying and harassment of employees and models. The company expresses “regret.”,"['Models (Professional)', 'Lingerie and Underwear', 'Sexual Harassment', 'Women and Girls', 'Discrimination', 'Workplace Hazards and Violations']",article,News,Business
2020-02-01,The matchup between the Kansas City Chiefs and the San Francisco 49ers brings out the worst Native Americans stereotypes.,"['Football', 'Mascots', 'War Crimes, Genocide and Crimes Against Humanity', 'Airport Security', 'Native Americans', 'Indigenous People']",article,Op-Ed,OpEd
2020-02-01,"The Vermont senator has made exaggerated claims or statements that lacked context about “Medicare for all,” his antiwar record and his history of bipartisanship.","['Presidential Election of 2020', 'United States Politics and Government', 'Politics and Government']",article,News,Washington
2020-02-01,The Netflix show forced its problematic lead — and viewers — to confront the consequences of his actions.,"['Television', '#MeToo Movement', 'Sexual Harassment']",article,Op-Ed,OpEd
2020-02-01,"Every other Sunday, we complete a full orbit around Emily Cox and Henry Rathvon.",[],article,News,Games
2020-02-01,"As the slowing economy threatens Prime Minister Narendra Modi’s grip on power, the government unveiled a modest budget that one economist called “smoke and mirrors.”","['Politics and Government', 'Budgets and Budgeting', 'Economic Conditions and Trends']",article,News,Foreign
2020-02-01,Her filmography ranged from “Tarzan and the She-Devil” to “Wall Street.” She also appeared on “Batman” and on game shows and sang in cabarets.,"['Deaths (Obituaries)', 'ACTORS AND ACTRESSES', 'Movies', 'Television']",article,Obituary (Obit),Obits
2020-02-01,"Have rules limiting changes in historic districts become too restrictive and elitist, as one opinion writer suggested?","['Historic Buildings and Sites', 'Solar Energy']",article,Letter,Letters
2020-02-01,"With the Iowa caucuses set to kick off the primary season on Monday night, a Democratic race that began as a contest of ideas and ideologies has given way to a fixation on electability.","['Presidential Election of 2020', 'Primaries and Caucuses']",article,News,Politics
2020-02-01,"Chelsea bet on a beloved former player and its young talent this season, and it sits safely in fourth place. But patience will inevitably depend on results.",['Soccer'],article,News,Sports
2020-02-01,"After serving as President Jimmy Carter’s chief aide on scientific matters, he led the National Academy of Sciences for 12 years.","['Deaths (Obituaries)', 'Cold War Era', 'Science and Technology', 'United States Politics and Government']",article,Obituary (Obit),Obits
2020-02-01,"Michael R. Bloomberg, the billionaire presidential hopeful, is including more new taxes in his plan than his moderate rival Joe Biden but less than Bernie Sanders or Elizabeth Warren.","['Presidential Election of 2020', 'Federal Taxes (US)', 'Tax Cuts and Jobs Act (2017)', 'Corporate Taxes', 'Income Tax', 'Taxation']",article,News,Politics
2020-02-01,"At critical turning points, Chinese authorities put secrecy and order ahead of openly confronting the growing crisis and risking public alarm or political embarrassment.","['Coronavirus (2019-nCoV)', 'Politics and Government', 'Epidemics', 'SARS (Severe Acute Respiratory Syndrome)']",article,News,Foreign
2020-02-01,"Sandeep Mathrani will take over the operator of shared office space, which was on the brink of financial collapse last year.","['Appointments and Executive Changes', 'Real Estate (Commercial)', 'Co-Working', 'Renting and Leasing (Real Estate)']",article,News,Business
2020-02-01,President Trump’s executive order granting local officials veto power over refugee resettlement has divided communities and left immigrants feeling unwanted.,"['Executive Orders and Memorandums', 'Refugees and Displaced Persons', 'Local Government', 'Immigration and Emigration', 'Vetoes (US)', 'United States Politics and Government']",article,News,Washington
